#   l    n            freq(microHz)                      Enl
    0    3   5.3593784829343133E+02   3.1308231006430790E-04
    0    4   6.8057133534383320E+02   9.4338881867340535E-05
    0    5   8.2536289364957258E+02   3.2630786188286413E-05
    0    6   9.7274360113012597E+02   1.2468578480994008E-05
    0    7   1.1181481321480430E+03   5.2666808263241405E-06
    0    8   1.2635213349216574E+03   2.2589561867067888E-06
    0    9   1.4076243482423633E+03   9.9639088884557466E-07
    0   10   1.5485180091027744E+03   4.4243996112763373E-07
    0   11   1.6868145697023695E+03   2.1034153566948724E-07
    0   12   1.8222163317756008E+03   1.1438701466251376E-07
    0   13   1.9574514365394264E+03   6.9414562472669533E-08
    0   14   2.0935085246459480E+03   4.5085587301665816E-08
    0   15   2.2288304305547522E+03   3.0112070215798936E-08
    0   16   2.3634598521548060E+03   2.1014329548706459E-08
    0   17   2.4973405030376298E+03   1.5981054732955920E-08
    0   18   2.6313966628334483E+03   1.3072684075150696E-08
    0   19   2.7666559890617909E+03   1.1219065298658393E-08
    0   20   2.9022262347068317E+03   9.8639741888911826E-09
    0   21   3.0380254597516196E+03   8.8060988513372190E-09
    0   22   3.1740577359123226E+03   8.1037154128169895E-09
    0   23   3.3101274446801181E+03   7.6586311575161204E-09
    0   24   3.4468423507688399E+03   7.3920441648996960E-09
    0   25   3.5838693992592039E+03   7.2582586294498161E-09
    0   26   3.7211161031156248E+03   7.1781538184823475E-09
    0   27   3.8587446373569660E+03   7.1872771040068314E-09
    0   28   3.9964099194632195E+03   7.2606153130052928E-09
    0   29   4.1343119927167563E+03   7.3754570716947794E-09
    0   30   4.2722924599876633E+03   7.5857688473979901E-09
    0   31   4.4102734012877982E+03   7.8600938039125749E-09
    0   32   4.5484279085333892E+03   8.2177293086492777E-09
    0   33   4.6863213363842769E+03   8.6984648487602478E-09
    0   34   4.8240484425392679E+03   9.3692835560802536E-09
    0   35   4.9614725658477792E+03   1.0409734783963635E-08
    
    1    3   5.9694014659013328E+02   1.7820402560448823E-04
    1    4   7.4666380060901872E+02   5.5620899162307801E-05
    1    5   8.9371562981879424E+02   2.0847214862203139E-05
    1    6   1.0395585703314773E+03   8.2874070761653318E-06
    1    7   1.1856160073374033E+03   3.5582789691267349E-06
    1    8   1.3296962629210345E+03   1.5567101451400534E-06
    1    9   1.4729722582887798E+03   6.7883246220426420E-07
    1   10   1.6127264992107116E+03   3.1096417746238294E-07
    1   11   1.7493858515009831E+03   1.5553503542818438E-07
    1   12   1.8850994623830936E+03   8.9403431386099480E-08
    1   13   2.0206650591503890E+03   5.6603717540100561E-08
    1   14   2.1568469748529660E+03   3.7014508623917758E-08
    1   15   2.2922690564891213E+03   2.5216073126996767E-08
    1   16   2.4263729576581477E+03   1.8258261931019868E-08
    1   17   2.5606416704942185E+03   1.4365988127479318E-08
    1   18   2.6954019071269777E+03   1.2122290848430470E-08
    1   19   2.8309540663615207E+03   1.0504611629453194E-08
    1   20   2.9670323168484829E+03   9.3035471837267763E-09
    1   21   3.1029295955942503E+03   8.4344757917419705E-09
    1   22   3.2391680017802641E+03   7.8402220489806669E-09
    1   23   3.3757311724408733E+03   7.5140765123416422E-09
    1   24   3.5125958636023497E+03   7.3103011341235501E-09
    1   25   3.6499858148581884E+03   7.1993737027349036E-09
    1   26   3.7874377461967711E+03   7.1772925226451257E-09
    1   27   3.9251673771313585E+03   7.2037543852623272E-09
    1   28   4.0631334097635076E+03   7.3070372832040116E-09
    1   29   4.2010331351139876E+03   7.4653132162650839E-09
    1   30   4.3391740728612704E+03   7.6984649119354782E-09
    1   31   4.4773055351603325E+03   8.0267174531394612E-09
    1   32   4.6153770771746986E+03   8.4224139447454738E-09
    1   33   4.7533403833942275E+03   8.9887738432538658E-09
    1   34   4.8909229707881250E+03   9.8186420774481797E-09
    
    2    2   5.1447380480252980E+02   3.5152221548359885E-04
    2    3   6.6440415439194726E+02   1.0445669638204196E-04
    2    4   8.1176417117921017E+02   3.5318911211381871E-05
    2    5   9.5987198407822177E+02   1.3523487998119430E-05
    2    6   1.1051665139257782E+03   5.6732429194807730E-06
    2    7   1.2507334445393626E+03   2.4325689024985588E-06
    2    8   1.3947061785554424E+03   1.0747467234236124E-06
    2    9   1.5359850515294470E+03   4.7409716333007383E-07
    2   10   1.6746693616820326E+03   2.2367062780705330E-07
    2   11   1.8102770654778499E+03   1.1987206078851164E-07
    2   12   1.9458166413734350E+03   7.2022620416919709E-08
    2   13   2.0820621139778041E+03   4.6640574066731979E-08
    2   14   2.2177650338545450E+03   3.0989142074663836E-08
    2   15   2.3528659270897674E+03   2.1510135709630835E-08
    2   16   2.4870304777700712E+03   1.6239133230699617E-08
    2   17   2.6214079992277020E+03   1.3200204388190673E-08
    2   18   2.7569471131548639E+03   1.1308963528713119E-08
    2   19   2.8927983073441974E+03   9.9223000238511416E-09
    2   20   3.0289626187447411E+03   8.8425447374244375E-09
    2   21   3.1652750133137720E+03   8.1247637421209557E-09
    2   22   3.3016327958641223E+03   7.6606290471575261E-09
    2   23   3.4386330697583171E+03   7.3892709376286383E-09
    2   24   3.5758947255714402E+03   7.2503974973314299E-09
    2   25   3.7134164198939848E+03   7.1652605964145181E-09
    2   26   3.8512771438050286E+03   7.1738505618448274E-09
    2   27   3.9891643855330290E+03   7.2424150384695551E-09
    2   28   4.1273060985471075E+03   7.3558691333755427E-09
    2   29   4.2654789273636716E+03   7.5632019733595576E-09
    2   30   4.4036684910625390E+03   7.8326005874193420E-09
    2   31   4.5420187747273922E+03   8.1889780316535809E-09
    2   32   4.6800953753263357E+03   8.6616650615499775E-09
    2   33   4.8180191339335952E+03   9.3218607447679819E-09
    2   34   4.9556187639989967E+03   1.0343944015558955E-08
    
    3    2   5.6470904335667740E+02   2.2119365261238583E-04
    3    3   7.1851612633611262E+02   6.7501390301296656E-05
    3    4   8.6694844032874983E+02   2.4456233499112990E-05
    3    5   1.0150131552006480E+03   9.5163942294348635E-06
    3    6   1.1616857086486691E+03   4.0722292704077805E-06
    3    7   1.3067942785739779E+03   1.7616851441266218E-06
    3    8   1.4510606993825529E+03   7.6938731587166311E-07
    3    9   1.5915468569609482E+03   3.4782565109238018E-07
    3   10   1.7292164236211745E+03   1.7018041100186733E-07
    3   11   1.8652518684885704E+03   9.6128491248113070E-08
    3   12   2.0010932420199103E+03   6.0010837010021298E-08
    3   13   2.1378345485143191E+03   3.9091211381135160E-08
    3   14   2.2736993798102940E+03   2.6446738295114707E-08
    3   15   2.4084194438303321E+03   1.8888837432503075E-08
    3   16   2.5431180564358792E+03   1.4716079109320209E-08
    3   17   2.6781376911544003E+03   1.2318282374411006E-08
    3   18   2.8141637260310335E+03   1.0637258015680582E-08
    3   19   2.9506464959769733E+03   9.4055120983365795E-09
    3   20   3.0869843300603366E+03   8.4876199376304884E-09
    3   21   3.2237014836781518E+03   7.8675607446820007E-09
    3   22   3.3606097396980690E+03   7.5200947854849003E-09
    3   23   3.4979095390751513E+03   7.2999850116043962E-09
    3   24   3.6357079953451566E+03   7.1873444391676355E-09
    3   25   3.7735368037970661E+03   7.1537604091572753E-09
    3   26   3.9116985508817879E+03   7.1756662232424885E-09
    3   27   4.0500227902316037E+03   7.2767275647308422E-09
    3   28   4.1883107802609602E+03   7.4247237581820404E-09
    3   29   4.3268274200409978E+03   7.6551896554580270E-09
    3   30   4.4652851910317440E+03   7.9756523909236166E-09
    3   31   4.6037337912080329E+03   8.3624204459676383E-09
    3   32   4.7420253387426937E+03   8.9157462967986543E-09
    3   33   4.8799405172848328E+03   9.7160415221763474E-09
